datetime,pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions,year,month,day,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7
2019-02-03,141.5,166.3895,203.78188,13.2,91.4,0.0,0.0,0.0,15.6,1019.8,Clear,2019,2,3,6,1,197.2083333333333,177.8181818181818,215.8333333333333,195.0833333333333,123.3181818181818,112.1818181818182,140.95833333333334,166.0573593073593,40.38982383421815
2019-02-04,126.17647058823528,167.53607,143.34236,14.1,81.5,0.0,0.0,0.0,11.2,1020.2,Partially cloudy,2019,2,4,0,0,141.5,197.2083333333333,177.8181818181818,215.8333333333333,195.0833333333333,123.3181818181818,112.1818181818182,166.13474025974025,40.33420403904201
2019-02-05,181.2083333333333,134.02025,166.94836,16.8,77.4,0.0,0.0,0.0,10.0,1017.5,Partially cloudy,2019,2,5,1,0,126.17647058823528,141.5,197.2083333333333,177.8181818181818,215.8333333333333,195.0833333333333,123.3181818181818,168.1339763177998,37.4585437371812
2019-02-06,187.7058823529412,132.46526,356.3277,18.6,84.6,0.681,100.0,4.17,21.8,1012.4,"Rain, Partially cloudy",2019,2,6,2,0,181.2083333333333,126.17647058823528,141.5,197.2083333333333,177.8181818181818,215.8333333333333,195.0833333333333,176.40399796282145,31.891967541832127
2019-02-07,194.8333333333333,102.4433,512.635,16.4,93.7,7.033,100.0,8.33,33.2,1010.3,"Rain, Partially cloudy",2019,2,7,3,0,187.7058823529412,181.2083333333333,126.17647058823528,141.5,197.2083333333333,177.8181818181818,215.8333333333333,175.35007639419402,31.28797779848115
2019-02-08,59.333333333333336,160.86072,361.33478,13.9,78.6,0.0,0.0,0.0,17.7,1016.4,Clear,2019,2,8,4,0,194.8333333333333,187.7058823529412,181.2083333333333,126.17647058823528,141.5,197.2083333333333,177.8181818181818,172.35007639419402,27.541872778449086
2019-02-09,96.73684210526316,177.58769,300.40094,13.6,76.4,0.0,0.0,0.0,18.0,1018.9,Clear,2019,2,9,5,1,59.333333333333336,194.8333333333333,187.7058823529412,181.2083333333333,126.17647058823528,141.5,197.2083333333333,155.42366946778708,50.47885664968091
2019-02-10,158.36363636363637,139.94193,202.37521,13.7,76.9,0.0,0.0,0.0,22.4,1020.2,Partially cloudy,2019,2,10,6,1,96.73684210526316,59.333333333333336,194.8333333333333,187.7058823529412,181.2083333333333,126.17647058823528,141.5,141.0705992923485,50.89990343679244
2019-02-11,146.13478260869564,151.33113,182.43773,15.2,73.9,0.0,0.0,0.0,11.2,1020.5,Partially cloudy,2019,2,11,0,0,158.36363636363637,96.73684210526316,59.333333333333336,194.8333333333333,187.7058823529412,181.2083333333333,126.17647058823528,143.4796902014394,51.32095045296174
2019-02-12,149.91376811594202,160.99583,166.22658,16.7,78.7,0.0,0.0,0.0,7.6,1020.5,Partially cloudy,2019,2,12,1,0,146.13478260869564,158.36363636363637,96.73684210526316,59.333333333333336,194.8333333333333,187.7058823529412,181.2083333333333,146.33087763293375,50.75066986535554
2019-02-13,138.36060606060605,156.8768,171.43518,18.3,73.6,0.0,0.0,0.0,11.6,1019.6,Partially cloudy,2019,2,13,2,0,149.91376811594202,146.13478260869564,158.36363636363637,96.73684210526316,59.333333333333336,194.8333333333333,187.7058823529412,141.8602254590207,48.494460203809105
2019-02-14,110.69434380032207,65.91645,417.1501,17.4,86.2,9.806,100.0,12.5,18.4,1015.2,"Rain, Partially cloudy",2019,2,14,3,0,138.36060606060605,149.91376811594202,146.13478260869564,158.36363636363637,96.73684210526316,59.333333333333336,194.8333333333333,134.8109002744014,44.10753564441886
2019-02-15,108.42240338164252,98.528595,328.25653,16.7,85.8,0.1,100.0,4.17,15.6,1015.5,"Rain, Partially cloudy",2019,2,15,4,0,110.69434380032207,138.36060606060605,149.91376811594202,146.13478260869564,158.36363636363637,96.73684210526316,59.333333333333336,122.79104462682837,35.68479022654735
2019-02-16,144.29384057971015,146.92938,341.64697,15.3,91.4,0.0,0.0,0.0,16.6,1017.3,Partially cloudy,2019,2,16,5,1,108.42240338164252,110.69434380032207,138.36060606060605,149.91376811594202,146.13478260869564,158.36363636363637,96.73684210526316,129.80376891944397,24.06849301358774
2019-02-17,127.08188405797102,180.62735,379.96744,15.5,83.5,0.0,0.0,0.0,20.3,1014.2,Partially cloudy,2019,2,17,6,1,144.29384057971015,108.42240338164252,110.69434380032207,138.36060606060605,149.91376811594202,146.13478260869564,158.36363636363637,136.59762584436496,19.447361517876516
2019-02-18,112.9336956521739,128.22913,232.11089,18.1,73.0,0.63,100.0,4.17,21.3,1009.4,"Rain, Partially cloudy",2019,2,18,0,0,127.08188405797102,144.29384057971015,108.42240338164252,110.69434380032207,138.36060606060605,149.91376811594202,146.13478260869564,132.12880408641277,17.059683332991902
2019-02-19,110.41123188405795,173.66763,190.61646,18.4,79.7,0.0,0.0,0.0,12.0,1012.5,Partially cloudy,2019,2,19,1,0,112.9336956521739,127.08188405797102,144.29384057971015,108.42240338164252,110.69434380032207,138.36060606060605,149.91376811594202,127.38579166405252,17.131882354724215
2019-02-20,93.28396739130436,71.446785,262.28745,18.1,87.5,2.171,100.0,12.5,11.4,1017.4,"Rain, Partially cloudy",2019,2,20,2,0,110.41123188405795,112.9336956521739,127.08188405797102,144.29384057971015,108.42240338164252,110.69434380032207,138.36060606060605,121.74257220235482,14.825163481696706
2019-02-21,73.35733695652173,168.90788,275.54108,21.0,71.6,0.0,0.0,0.0,15.4,1016.1,Partially cloudy,2019,2,21,3,0,93.28396739130436,110.41123188405795,112.9336956521739,127.08188405797102,144.29384057971015,108.42240338164252,110.69434380032207,115.30305239245457,16.13574739699135
