pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7,conditions_Clear,conditions_Overcast,conditions_Partially cloudy,conditions_Rain,"conditions_Rain, Overcast","conditions_Rain, Partially cloudy",month_cos,month_sin,day_cos,day_sin
70.27272727272727,178.63605,358.5089,28.9,73.5,0.0,0.0,0.0,13.0,1006.7,4,0,58.0,46.625,35.541666666666664,42.333333333333336,20.166666666666668,22.416666666666668,25.291666666666668,35.767857142857146,14.063572122560393,0,0,1,0,0,0,-1.8369701987210297e-16,-1.0,0.9795299412524943,-0.20129852008866114
74.625,177.26924,334.34088,29.1,72.0,0.0,0.0,0.0,13.0,1005.8,5,1,70.27272727272727,58.0,46.625,35.541666666666664,42.333333333333336,20.166666666666668,22.416666666666668,42.19372294372295,18.15900879191643,1,0,0,0,0,0,0.5000000000000001,-0.8660254037844386,0.9795299412524945,0.20129852008866006
61.125,181.07219,325.41287,29.5,64.1,0.0,0.0,0.0,16.6,1006.1,6,1,74.625,70.27272727272727,58.0,46.625,35.541666666666664,42.333333333333336,20.166666666666668,49.65205627705627,19.36391069991969,1,0,0,0,0,0,0.5000000000000001,-0.8660254037844386,0.9189578116202306,0.39435585511331855
36.125,186.68799,489.3883,29.0,59.4,0.0,0.0,0.0,24.4,1007.1,0,0,61.125,74.625,70.27272727272727,58.0,46.625,35.541666666666664,42.333333333333336,55.50324675324675,14.56223112964683,1,0,0,0,0,0,0.5000000000000001,-0.8660254037844386,0.8207634412072763,0.5712682150947923
54.625,147.67593,336.34302,29.1,63.3,0.0,0.0,0.0,11.2,1008.6,1,0,36.125,61.125,74.625,70.27272727272727,58.0,46.625,35.541666666666664,54.61634199134198,15.646698694316775,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386,0.6889669190756866,0.72479278722912
83.41666666666667,144.91452,411.278,28.7,69.7,0.0,0.0,0.0,9.4,1007.9,2,0,54.625,36.125,61.125,74.625,70.27272727272727,58.0,46.625,57.34253246753247,13.24793766853574,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386,0.5289640103269624,0.8486442574947509
11.25,169.83066,643.60455,26.0,78.3,0.0,0.0,0.0,16.6,1009.2,3,0,83.41666666666667,54.625,36.125,61.125,74.625,70.27272727272727,58.0,62.59848484848485,15.409233372897123,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386,0.3473052528448203,0.9377521321470804
14.375,51.203514,490.6936,23.9,87.3,0.3,100.0,8.33,16.9,1009.9,4,0,11.25,83.41666666666667,54.625,36.125,61.125,74.625,70.27272727272727,55.91991341991342,24.926439971410677,0,0,0,0,1,0,0.5000000000000001,-0.8660254037844386,0.1514277775045767,0.9884683243281114
9.541666666666666,15.133776,411.36288,22.5,96.9,73.499,100.0,25.0,18.4,1010.5,5,1,14.375,11.25,83.41666666666667,54.625,36.125,61.125,74.625,47.9345238095238,28.2889138852913,0,0,0,0,1,0,0.5000000000000001,-0.8660254037844386,-0.05064916883871264,0.9987165071710528
6.291666666666667,39.223724,378.32706,22.0,99.0,29.609,100.0,25.0,18.4,1010.1,6,1,9.541666666666666,14.375,11.25,83.41666666666667,54.625,36.125,61.125,38.63690476190476,28.74626298463696,0,0,0,0,1,0,0.5000000000000001,-0.8660254037844386,-0.2506525322587204,0.9680771188662043
