valid_time,solar_radiation,boundary_layer_height
2019-08-23,184.22015,350.58975
2019-08-24,162.63838,377.52002
2019-08-25,66.922424,402.966
2019-08-26,168.38208,438.72223
2019-08-27,185.65698,417.39056
2019-08-28,203.70212,483.54837
2019-08-29,179.27654,489.392
2019-08-30,190.59093,393.55817
2019-08-31,194.93181,445.98633
2019-09-01,131.0138,377.5037
2019-09-02,172.36679,366.65985
2019-09-03,167.8841,416.43274
2019-09-04,121.33034,375.69727
2019-09-05,170.60416,453.47437
2019-09-06,171.80489,477.00534
2019-09-07,135.82301,412.05423
2019-09-08,176.8719,417.95288
2019-09-09,170.2148,421.81622
2019-09-10,199.19998,377.08957
2019-09-11,194.45285,323.67627
2019-09-12,119.15266,520.7478
2019-09-13,167.6811,501.3845
2019-09-14,131.23712,570.5315
2019-09-15,132.47176,349.21118
2019-09-16,180.04037,354.53854
2019-09-17,128.36958,270.6103
2019-09-18,145.47455,516.3395
2019-09-19,149.03917,505.98404
2019-09-20,165.38441,410.4925
2019-09-21,149.43086,260.4657
2019-09-22,137.84842,326.41083
2019-09-23,139.70885,392.22537
2019-09-24,161.21523,475.4504
2019-09-25,155.33264,516.69794
2019-09-26,153.48221,679.86804
2019-09-27,111.10194,681.90674
2019-09-28,129.0279,606.698
2019-09-29,54.218517,389.05328
2019-09-30,121.33646,387.08423
2019-10-01,114.8638,330.63086
2019-10-02,148.02637,357.95932
2019-10-03,176.45837,204.75293
2019-10-04,169.15717,364.50037
2019-10-05,180.78743,304.19986
2019-10-06,183.79019,300.31982
2019-10-07,176.30516,372.64142
2019-10-08,180.4534,347.43137
2019-10-09,163.73895,377.06754
2019-10-10,174.83258,422.9014
2019-10-11,177.67506,377.33673
2019-10-12,172.9265,391.18268
2019-10-13,172.2683,466.35602
2019-10-14,171.98,377.57025
2019-10-15,168.03958,365.9183
2019-10-16,168.21355,378.902
2019-10-17,156.80559,445.20087
2019-10-18,162.2156,402.80103
2019-10-19,161.53242,203.61803
2019-10-20,173.5528,361.86108
2019-10-21,171.20552,353.77933
2019-10-22,170.97615,424.1011
2019-10-23,168.97998,388.2973
2019-10-24,163.61568,325.48495
2019-10-25,160.70605,367.80032
2019-10-26,159.65416,384.86383
2019-10-27,163.73978,377.61395
2019-10-28,157.59613,327.0747
2019-10-29,120.58919,332.9198
2019-10-30,130.8394,344.15482
2019-10-31,154.79446,291.46063
2019-11-01,149.43398,254.20901
2019-11-02,137.03271,338.47556
2019-11-03,140.16658,396.2142
2019-11-04,152.76035,420.46487
2019-11-05,154.4025,440.8078
2019-11-06,149.50522,437.77417
2019-11-07,86.94048,289.8723
2019-11-08,128.91194,241.82907
2019-11-09,149.02507,246.58777
2019-11-10,148.13583,238.43593
2019-11-11,141.78487,244.51176
2019-11-12,148.67027,191.42932
2019-11-13,130.66551,170.62915
2019-11-14,126.71048,181.82997
2019-11-15,127.78658,236.35335
2019-11-16,141.10431,490.93707
2019-11-17,143.03189,465.9914
2019-11-18,143.80824,359.04785
2019-11-19,142.0914,319.1065
2019-11-20,139.70032,263.62335
2019-11-21,137.29587,277.20773
2019-11-22,135.52116,261.7397
2019-11-23,109.11757,234.29594
2019-11-24,115.86847,225.86789
2019-11-25,132.26915,215.54718
2019-11-26,111.592064,228.63762
2019-11-27,111.96276,230.64449
2019-11-28,88.6658,369.20242
2019-11-29,91.33693,244.05186
2019-11-30,130.3135,325.0955
2019-12-01,135.70625,293.99408
2019-12-02,135.8873,280.9318
2019-12-03,137.04506,201.70538
2019-12-04,134.77245,141.45181
2019-12-05,125.514465,183.65305
2019-12-06,106.99269,158.2566
2019-12-07,131.32413,172.92049
2019-12-08,130.21956,229.30807
2019-12-09,131.637,198.90942
2019-12-10,131.34026,171.66063
2019-12-11,114.03354,193.91832
2019-12-12,88.30259,535.6109
2019-12-13,65.79591,280.521
2019-12-14,76.86075,245.92896
2019-12-15,122.01532,341.01877
2019-12-16,127.03274,308.9324
2019-12-17,130.97227,231.1729
2019-12-18,128.79927,201.75653
2019-12-19,120.72786,173.42265
2019-12-20,127.05179,155.27504
2019-12-21,78.46,148.31721
2019-12-22,131.86743,208.9241
2019-12-23,133.04243,163.66916
2019-12-24,83.48752,117.90544
2019-12-25,134.01016,169.58444
2019-12-26,128.48868,225.4497
2019-12-27,119.968315,132.51398
2019-12-28,91.930504,127.50536
2019-12-29,87.55318,95.66067
2019-12-30,80.99845,139.27847
2019-12-31,95.55774,128.46841
2020-01-01,127.04343,116.90172
2020-01-02,121.30344,198.45258
2020-01-03,128.25766,150.15157
2020-01-04,130.71556,184.72052
2020-01-05,131.57649,219.76366
2020-01-06,78.71494,163.42584
2020-01-07,117.514725,219.09517
2020-01-08,54.3051,366.05923
2020-01-09,143.26262,303.80338
2020-01-10,144.615,227.9497
2020-01-11,101.208595,157.61021
2020-01-12,140.58101,111.931885
2020-01-13,115.242386,171.97806
2020-01-14,109.29135,241.37689
2020-01-15,140.44704,169.79318
2020-01-16,87.40544,204.12985
2020-01-17,112.233574,187.94121
2020-01-18,99.371605,155.61525
2020-01-19,139.68864,203.7003
2020-01-20,130.73338,186.51944
2020-01-21,140.94345,154.78346
2020-01-22,150.00455,304.78036
2020-01-23,157.42815,452.75262
2020-01-24,158.62712,310.5865
2020-01-25,155.52042,151.5466
2020-01-26,153.2422,177.69864
2020-01-27,103.94496,177.19307
2020-01-28,106.30033,355.22406
2020-01-29,113.23011,204.08754
2020-01-30,159.77292,338.40265
2020-01-31,161.58093,262.31226
2020-02-01,161.61201,272.06744
2020-02-02,167.33592,271.7306
2020-02-03,169.2786,219.20528
2020-02-04,166.14531,198.1932
2020-02-05,166.98732,301.27823
2020-02-06,171.90892,292.4246
2020-02-07,166.62843,340.99295
2020-02-08,173.88231,253.31558
2020-02-09,176.07397,223.8428
2020-02-10,178.42809,258.24295
2020-02-11,178.7071,234.20564
2020-02-12,175.51051,319.39218
2020-02-13,176.41739,397.40506
2020-02-14,184.12953,648.2873
2020-02-15,187.65247,330.62177
2020-02-16,188.28044,191.70514
2020-02-17,188.9641,231.36647
2020-02-18,192.22594,234.28458
2020-02-19,163.4315,321.9237
2020-02-20,175.91962,574.5642
2020-02-21,65.58366,501.56525
2020-02-22,143.12167,329.0002
2020-02-23,177.3094,296.68704
2020-02-24,182.26566,289.39536
2020-02-25,189.79399,288.4395
2020-02-26,189.91167,316.22827
2020-02-27,180.51674,249.9541
2020-02-28,144.34428,504.06653
2020-02-29,77.37823,396.36194
2020-03-01,166.14183,296.80533
2020-03-02,193.59824,347.88882
2020-03-03,202.01189,371.18643
2020-03-04,163.40207,366.65045
2020-03-05,164.56511,411.26987
2020-03-06,81.2987,549.06805
2020-03-07,150.353,446.8327
2020-03-08,210.38017,402.2317
2020-03-09,220.7038,428.55972
2020-03-10,209.97719,253.48627
2020-03-11,155.23636,558.25415
2020-03-12,202.97408,368.46545
2020-03-13,203.04903,304.84784
2020-03-14,139.77534,334.7447
2020-03-15,203.76958,453.8302
2020-03-16,212.21303,438.15582
2020-03-17,226.3374,368.92517
2020-03-18,221.00055,343.77228
2020-03-19,204.5401,253.76143
2020-03-20,198.47563,198.87685
2020-03-21,219.48486,335.17773
